"word","definition","example_sentence","difficulty_level","difficulty_name","etymology","language_origin","pronunciation","pronunciation_ipa","pronunciation_tips","common_misspellings","audio_url","source_name","source_url","source_difficulty","source_year","definition_source","etymology_source","pronunciation_source","example_source"
"online","To bring (a system, etc.) online; to promote to an active or running state.","The word ___ is important to understand.","2","Elementary","1950, from .","","","/ɒnˈlaɪn/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"only","An only child.","The word ___ is important to understand.","1","Beginner","From , , from , , from , equivalent to . Cognate with obsolete , , , . Regarding the different phonological development of ''only'' and ''one'', see the note in .","","","/ˈəʊn.li/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"onomatopoeia","The property of a word of sounding like what it represents.","The word ___ is important to understand.","4","Advanced",", from , from , from  + .","","","/ˌɒnəˌmætəˈpeɪə/","Remember: 'E before I' (exception to the rule)","[]","https://api.dictionaryapi.dev/media/pronunciations/en/onomatopoeia-au.mp3","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"onshore","To relocate production, services or jobs to lower-cost locations in the same country.","The word ___ is important to understand.","1","Beginner","From .","","","","","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","","Claude"
"onus","A legal obligation.","The word ___ is important to understand.","1","Beginner","
.","","","/ˈəʊnəs/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"onychitis","","","3","Intermediate","From .","","","","","[]","","Scripps National Spelling Bee","","Year 2023","2023","","Wiktionary","",""
"onychorrhexis","","","4","Advanced","From .

","","","","Remember the double R","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"oolite","A rock consisting of spherical grains within a mineral cortex accreted around a nucleus, often of quartz grains.","The word ___ is important to understand.","2","Elementary","From , after .","","","/ˈəʊəlʌɪt/","Remember the double O","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"oompah","A genre of Germanic music (especially Bavarian music) typically involving brass instruments.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","","Remember the double O","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","","Claude"
"oops","A minor mistake or unforseen difficulty.","The word ___ is important to understand.","1","Beginner","A presumably 'natural' exclamation, attested in writing since 1921. Related to or a variation of  (itself attested since 1933). A shortening of , , or ''oops-a-daisy'', which in turn is a mispronunciation of  or .","","","/uːps/","Remember the double O","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"oopuhue","","","2","Elementary","Borrowed from .","","","","Remember the double O","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"oort","","","1","Beginner","Etymology uncertain","","","","Remember the double O","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"oozing","To be secreted or slowly leak.","The word ___ is important to understand.","1","Beginner","Etymology uncertain","","","","Remember the double O","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Claude","","Claude"
"opalescence","","","3","Intermediate","From .","","","","","[]","","Scripps National Spelling Bee","","Year 2021","2021","","Wiktionary","",""
"opaque","An area of darkness; a place or region with no light.","The word ___ is important to understand.","2","Elementary","From , from  (of unknown origin), later reinforced from . .","Unknown","","/əʊˈpeɪk/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"open","Not closed","The word ___ is important to understand.","1","Beginner","File:17 Open sign - free stock photo.jpg|thumb|A sign indicating that a shop is open
Adjective from , from , from , from , from .


* 
* 
* 
* 
* , 
* 
* 
* 
* 
* 
* 
 Compare also , . Related to .

Verb from , from , from , from , from . Cognate with , , , , , , ,  and . Related to .

Noun from , from the verb. In the sports sense, however, a shortening of “open competition”.","The","","/ˈəʊ.pən/","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/open-au.mp3","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"opera","A theatrical work, combining drama, music, song and sometimes dance.","The word ___ is important to understand.","1","Beginner","Borrowed from , from , plural of .","","","/ˈɒp.əɹ.ə/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"operant","An operative person or thing.","The word ___ is important to understand.","2","Elementary","From , from .<ref></ref>","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"operates","To perform a work or labour; to exert power or strength, physical or mechanical; to act.","The word ___ is important to understand.","4","Advanced","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","","Claude"
"operator","One who operates.","The word ___ is important to understand.","1","Beginner","
Borrowed from , from . Equivalent to .","","","/ˈɒpəˌɹeɪtə/","","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","Dictionary API","Claude"
"operose","Of a person: busy, industrious, or painstaking.","The word ___ is important to understand.","2","Elementary","From .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"ophthalmologist","A medical doctor specializing in the eye: deficiencies of vision requiring correction, and diseases. Compare optometrist.","The word ___ is important to understand.","5","Expert","From .","","","/ˌɒf.θælˈmɒ.lə.dʒɪst/","'PH' makes an 'F' sound","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"opinionated","To have or express as an opinion; to opine.","The word ___ is important to understand.","4","Advanced","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Claude","","Claude"
"oppidan","A town dweller.","The word ___ is important to understand.","2","Elementary","From , from .","","","","Remember the double P","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"opponency","","","3","Intermediate","From ?","","","","Remember the double P","[]","","Scripps National Spelling Bee","","Year 2023","2023","","Wiktionary","",""
"opportunity","A chance for advancement, progress or profit.","The word ___ is important to understand.","2","Elementary","
From , from , from .","","","/ˌɒp.əˈtjuː.nɪ.tɪ/","Remember the double P","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","Dictionary API","Claude"
"opposite","Something opposite or contrary to something else.","The word ___ is important to understand.","2","Elementary","From , from , perfect passive participle of . Compare .","","","/ˈɒpəsɪt/","Remember the double P","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","Dictionary API","Claude"
"opprobrious","Of or relating to opprobrium or disgrace.","The word ___ is important to understand.","4","Advanced","From , from  and its etymon .<ref></ref><ref></ref>","","","","Remember the double P","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"oppugn","To contradict or controvert; to oppose; to challenge or question the truth or validity of a given statement.","The word ___ is important to understand.","2","Elementary","From  .","","","/əˈpjuːn/","Remember the double P","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"optician","A person who makes or dispenses lenses, spectacles.","The word ___ is important to understand.","4","Advanced","Borrowed from .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"optimum","The best or most favorable condition, or the greatest amount or degree possible under specific sets of comparable circumstances.","The word ___ is important to understand.","2","Elementary","From , neuter of , from the root or in , .","The","","/ˈɒptɪməm/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"options","One of a set of choices that can be made.","The word ___ is important to understand.","2","Elementary","Contains Latin suffix '-tion' meaning 'act or process of'","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","","Claude"
"optometry","The art and science of vision and eye care.","The word ___ is important to understand.","1","Beginner","From .","","","","","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","","Claude"
"opulent","Luxuriant, and ostentatiously magnificent.","The word ___ is important to understand.","2","Elementary","Borrowed from , from , from .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"opus","A work of music or set of works with a specified rank in an ordering of a composer's complete published works.","The word ___ is important to understand.","1","Beginner","
Borrowed from .","","","","","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","","Claude"
"oracle","A shrine dedicated to some prophetic deity.","The word ___ is important to understand.","2","Elementary","From , from , from .","","","/ˈɒɹəkəl/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"oral","A spoken test or examination, particularly in a language class.","The word ___ is important to understand.","1","Beginner","

Early 17th century borrowing from , from .","","","/ˈɒɹəl/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"orally","By mouth.","The word ___ is important to understand.","2","Elementary","From .","","","/ˈɔːɹəli/","Remember the double L","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"orange","An evergreen tree of the genus Citrus such as Citrus sinensis.","The word ___ is important to understand.","2","Elementary","
, , from , influenced by the place name  (which is from Gaulish and unrelated to the word for the fruit and color) and by  and calqued from , , compound of  and , from , from Early , from ,<ref name=""OnlineED""></ref> ultimately from . Compare , compound of  and ; also , , ).

Originally borrowed as the surname (derived from the place name) in the 13th century, before the sense of the fruit was imported in the late 14th century and the color in 1510.<ref name=""OnlineED""/> In the color sense, lar","Gaulish","","/ˈɔɹɪ̈nd͡ʒ/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
